,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Regulation status,Upregulated,Downregulated,Not significant
ENSCSAG00000000427.1,19.8286662,-0.576061221,0.582665687,-0.988665084,0.322827031,1,Not Significant,0,0,
ENSCSAG00000000428.1,4.341859376,-0.644645047,0.670975157,-0.960758443,0.336673638,1,Not Significant,0,0,
ENSCSAG00000000431.1,52.05102547,0.082713144,0.209407149,0.394987201,0.692852334,1,Not Significant,0,0,
ENSCSAG00000000432.1_IFNB1,0.039027895,-0.128840812,3.398112415,-0.037915406,0.96975513,1,Not Significant,0,0,
ENSCSAG00000000433.1_IFNW1,0.027555154,-0.398630273,3.401262683,-0.117200672,0.906701034,1,Not Significant,0,0,
ENSCSAG00000000434.1,0.027555154,-0.398630273,3.401262683,-0.117200672,0.906701034,1,Not Significant,0,0,
ENSCSAG00000000435.1,0.039910791,-0.761088977,3.397919041,-0.223986789,0.822767583,1,Not Significant,0,0,
ENSCSAG00000000437.1_IFNA14,0.039700849,0,3.404952576,0,1,1,Not Significant,0,0,
ENSCSAG00000000438.1_IFNA6,0.182513302,-0.029662065,2.278610271,-0.013017612,0.989613741,1,Not Significant,0,0,
ENSCSAG00000000439.1,0.164904038,-0.320590804,2.963224434,-0.108189849,0.913845097,1,Not Significant,0,0,
ENSCSAG00000000441.1_TUSC1,7.398873905,0.1850593,0.466946091,0.39631834,0.6918702,1,Not Significant,0,0,
ENSCSAG00000000442.1,7864.804521,-0.169913697,0.121172488,-1.402246502,0.16084165,1,Not Significant,0,0,
ENSCSAG00000000443.1_IFNK,7.639981176,-0.003974711,0.402175946,-0.009883014,0.992114624,1,Not Significant,0,0,
ENSCSAG00000000444.1_ACTB,1429.695595,0.130737024,0.202053687,0.647041019,0.517605396,1,Not Significant,0,0,
ENSCSAG00000000445.1_LINGO2,0.950519687,0.161850525,1.424835511,0.113592428,0.90956089,1,Not Significant,0,0,
ENSCSAG00000000446.1_TMEM215,0.020642249,-1.122366103,3.401253148,-0.329986053,0.7414105,1,Not Significant,0,0,
ENSCSAG00000000447.1_MYORG,31.20517297,0.260968552,0.3493859,0.746934984,0.455102807,1,Not Significant,0,0,
ENSCSAG00000000448.1_ENHO,249.0100376,-0.269960867,0.31918535,-0.845780882,0.397674992,1,Not Significant,0,0,
ENSCSAG00000000449.1_RPP25L,30.74247639,0.11628597,0.314074833,0.370249247,0.711196786,1,Not Significant,0,0,
ENSCSAG00000000450.1_OR13J1,0.010042758,-0.584610743,3.403410199,-0.171772049,0.863616741,1,Not Significant,0,0,
ENSCSAG00000000451.1_HRCT1,13.99953766,0.466197155,0.462133686,1.008792842,0.313073995,1,Not Significant,0,0,
ENSCSAG00000000452.1_OR2S2,1.883239462,-0.371432002,0.836979419,-0.443776744,0.657204004,1,Not Significant,0,0,
ENSCSAG00000000453.1,3.11756711,-0.229933494,0.780110297,-0.294744852,0.768188797,1,Not Significant,0,0,
ENSCSAG00000000454.1,2.385573097,0.107213946,0.8533472,0.125639302,0.900017451,1,Not Significant,0,0,
ENSCSAG00000000455.1_CCIN,0.373776593,-0.407585409,2.777452222,-0.146747946,0.883330973,1,Not Significant,0,0,
ENSCSAG00000000456.1_ZBTB5,48.2657402,0.23311542,0.259887048,0.896987448,0.369725615,1,Not Significant,0,0,
ENSCSAG00000000457.1_SLC25A51,9.200140619,0.104801748,0.371212604,0.28232271,0.777696074,1,Not Significant,0,0,
ENSCSAG00000000458.1_ALDH1B1,705.4785152,0.542655769,0.265015725,2.047636113,0.040595668,1,Not Significant,0,0,
ENSCSAG00000000459.1_FOXE1,0.117451607,-0.158705332,3.386427323,-0.046865123,0.962620726,1,Not Significant,0,0,
ENSCSAG00000000460.1_PGAP4,11.05396239,-0.349017979,0.366679073,-0.951835008,0.341180665,1,Not Significant,0,0,
ENSCSAG00000000461.1_OR13F1,8.14842024,0.527065828,1.188189681,0.443587279,0.657341005,1,Not Significant,0,0,
ENSCSAG00000000462.1_OR13C3,9.074691654,0.331327797,1.038941164,0.318909106,0.749795439,1,Not Significant,0,0,
ENSCSAG00000000463.1_OR13C8,7.298206647,1.190621509,0.909987042,1.308393916,0.190739735,1,Not Significant,0,0,
ENSCSAG00000000464.1_OR13C9,32.96783747,0.581307344,0.848500101,0.685099912,0.493280876,1,Not Significant,0,0,
ENSCSAG00000000465.1,15.78737403,-0.376927086,0.892994986,-0.422093172,0.672957011,1,Not Significant,0,0,
ENSCSAG00000000466.1_TAL2,0.267791444,-1.11006092,2.377271862,-0.466947402,0.64053751,1,Not Significant,0,0,
ENSCSAG00000000467.1_ACTL7B,0.901402226,0.486860323,1.182021464,0.411887887,0.6804216,1,Not Significant,0,0,
